2021-02-01 17:05:09.432254,slug,Brigitte,Deaths - Avg per 10 Min,9.57
2021-02-01 17:05:09.432254,slug,Brigitte,Healing Done - Avg per 10 Min,2272
2021-02-01 17:05:09.432254,slug,Brigitte,Hero Damage Done - Avg per 10 Min,1997
2021-02-01 17:05:09.432254,slug,Brigitte,Objective Time - Avg per 10 Min,18
2021-02-01 17:05:09.432254,slug,D.Va,All Damage Done,155010
2021-02-01 17:05:09.432254,slug,D.Va,Barrier Damage Done,45197
2021-02-01 17:05:09.432254,slug,D.Va,Critical Hit Accuracy,0.08
2021-02-01 17:05:09.432254,slug,D.Va,Critical Hits,3775
2021-02-01 17:05:09.432254,slug,D.Va,Deaths,127
2021-02-01 17:05:09.432254,slug,D.Va,Eliminations,444
2021-02-01 17:05:09.432254,slug,D.Va,Final Blows,149
2021-02-01 17:05:09.432254,slug,D.Va,Hero Damage Done,105922
2021-02-01 17:05:09.432254,slug,D.Va,Multikills,15
2021-02-01 17:05:09.432254,slug,D.Va,Objective Kills,129
2021-02-01 17:05:09.432254,slug,D.Va,Objective Time,1388
2021-02-01 17:05:09.432254,slug,D.Va,Quick Melee Accuracy,0.75
2021-02-01 17:05:09.432254,slug,D.Va,Solo Kills,49
2021-02-01 17:05:09.432254,slug,D.Va,Time Spent on Fire,657
2021-02-01 17:05:09.432254,slug,D.Va,Weapon Accuracy,0.17
2021-02-01 17:05:09.432254,slug,D.Va,Games Lost,16
2021-02-01 17:05:09.432254,slug,D.Va,Games Played,31
2021-02-01 17:05:09.432254,slug,D.Va,Games Won,15
2021-02-01 17:05:09.432254,slug,D.Va,Time Played,209
2021-02-01 17:05:09.432254,slug,D.Va,Win Percentage,0.48
2021-02-01 17:05:09.432254,slug,D.Va,All Damage Done - Most in Game,13491
2021-02-01 17:05:09.432254,slug,D.Va,All Damage Done - Most in Life,6417
2021-02-01 17:05:09.432254,slug,D.Va,Barrier Damage Done - Most in Game,4521
2021-02-01 17:05:09.432254,slug,D.Va,Critical Hits - Most in Game,254
2021-02-01 17:05:09.432254,slug,D.Va,Critical Hits - Most in Life,117
2021-02-01 17:05:09.432254,slug,D.Va,Eliminations - Most in Game,32
2021-02-01 17:05:09.432254,slug,D.Va,Eliminations - Most in Life,20
2021-02-01 17:05:09.432254,slug,D.Va,Final Blows - Most in Game,12
2021-02-01 17:05:09.432254,slug,D.Va,Hero Damage Done - Most in Game,8758
2021-02-01 17:05:09.432254,slug,D.Va,Hero Damage Done - Most in Life,4152
2021-02-01 17:05:09.432254,slug,D.Va,Kill Streak - Best,20
2021-02-01 17:05:09.432254,slug,D.Va,Multikill - Best,5
2021-02-01 17:05:09.432254,slug,D.Va,Objective Kills - Most in Game,18
2021-02-01 17:05:09.432254,slug,D.Va,Objective Time - Most in Game,202
2021-02-01 17:05:09.432254,slug,D.Va,Solo Kills - Most in Game,6
2021-02-01 17:05:09.432254,slug,D.Va,Time Spent on Fire - Most in Game,132
2021-02-01 17:05:09.432254,slug,D.Va,Weapon Accuracy - Best in Game,0.23
2021-02-01 17:05:09.432254,slug,D.Va,Damage Blocked,7785
