2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Immortality Field Deaths Prevented - Most in Game,4
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Self Healing,9096
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Self Healing - Avg per 10 Min,1167
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Self Healing - Most in Game,1529
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,All Damage Done - Avg per 10 Min,6113
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Barrier Damage Done - Avg per 10 Min,2095
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Critical Hits - Avg per 10 Min,13.47
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Deaths - Avg per 10 Min,7.18
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Eliminations - Avg per 10 Min,10.64
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Eliminations per Life,1.48
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Final Blows - Avg per 10 Min,2.95
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Healing Done - Avg per 10 Min,3359
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Hero Damage Done - Avg per 10 Min,3889
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Objective Kills - Avg per 10 Min,5.77
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Objective Time - Avg per 10 Min,73
2021-02-01 22:52:02.663841,Quickplay,slug,Baptiste,Time Spent on Fire - Avg per 10 Min,19
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Time Played,376
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,All Damage Done,1528
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Barrier Damage Done,245
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Deaths,6
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Hero Damage Done,1253
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Objective Time,12
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,All Damage Done - Most in Game,1528
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,All Damage Done - Most in Life,845
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Barrier Damage Done - Most in Game,245
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Hero Damage Done - Most in Game,1253
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Hero Damage Done - Most in Life,815
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Objective Time - Most in Game,12
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Medals - Bronze,1
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Medals,1
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Defensive Assists,2
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Defensive Assists - Avg per 10 Min,3.19
2021-02-01 22:52:02.663841,Quickplay,slug,Brigitte,Healing Done,1425
